Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total,promo_flag,promo_q
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7.0,261.415,522.8299999999999,0,0.25
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5.0,3.82,76.39999999999999,1,0.25
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6.0,20.652,413.04,0,0.25
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10.0,36.78,735.6,0,0.25
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2.0,3.626,72.52,0,0.25
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3.0,8.226,164.52,0,0.25
Female,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4.0,2.896,57.92,1,0.25
Female,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5.0,11.7375,234.75,0,0.25
Female,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10.0,35.69,713.8,0,0.25
Female,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6.0,28.116,562.3199999999999,0,0.25
Female,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7.0,241.255,482.51000000000005,0,0.25
Female,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2.0,4.03,80.6,0,0.25
Female,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8.0,21.036,420.72,0,0.25
Female,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2.0,8.767,175.34,0,0.25
Female,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5.0,22.09,441.8,0,0.25
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4.0,19.884,397.68,0,0.25
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1.0,3.406,68.12,0,0.25
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9.0,27.396,547.9200000000001,0,0.25
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8.0,21.968,439.36,0,0.25
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1.0,4.336,86.72,0,0.25
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6.0,20.736,414.72,0,0.25
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8.0,39.48,789.6,0,0.25
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4.0,18.792,375.84,0,0.25
